id,gdp2017,qualityOfLife,polution
USA,18624475,180.56,31.70
China,11199145,hi peeps
Japan,4940158
Germany,3477796
France,2465453
UK,2647898
India,2263792
Brazil,1796186
Italy,1858913
Canada,1529760
South Korea,1411246
Russia,1283162
Australia,1204616
Spain,1237255
Mexico,1046922
Indonesia,932259
Turkey,863711
Netherlands,777227
Switzerland,668851
Saudi Arabia,646438
Argentina,545866
Sweden,511000
Poland,469509
Belgium,466366
Thailand,406840
Iran,425326
Austria,386428
Egypt,408045
Nigeria,405083
Venezuela,371337
Norway,370557
